en-lv,tildeset,0,hyp1,11,hyp2,8
en-lv,tildeset,1,hyp1,12,hyp2,13
en-lv,tildeset,2,hyp1,14,hyp2,19
en-lv,tildeset,3,hyp1,19,hyp2,14
en-lv,tildeset,4,hyp1,14,hyp2,14
en-lv,tildeset,5,hyp1,20,hyp2,14
en-lv,tildeset,6,hyp1,14,hyp2,19
en-lv,tildeset,7,hyp1,12,hyp2,15
en-lv,tildeset,8,hyp1,16,hyp2,14
en-lv,tildeset,9,hyp1,19,hyp2,14
en-lv,tildeset,10,hyp1,16,hyp2,13
en-lv,tildeset,11,hyp1,18,hyp2,13
en-lv,tildeset,12,hyp1,20,hyp2,14
en-lv,tildeset,13,hyp1,15,hyp2,15
en-lv,tildeset,14,hyp1,20,hyp2,14
en-lv,tildeset,15,hyp1,11,hyp2,14
en-lv,tildeset,16,hyp1,19,hyp2,14
en-lv,tildeset,17,hyp1,14,hyp2,19
en-lv,tildeset,18,hyp1,16,hyp2,11
en-lv,tildeset,19,hyp1,16,hyp2,12
en-lv,tildeset,20,hyp1,20,hyp2,14
en-lv,tildeset,21,hyp1,18,hyp2,12
en-lv,tildeset,22,hyp1,17,hyp2,12
en-lv,tildeset,23,hyp1,13,hyp2,14
en-lv,tildeset,24,hyp1,16,hyp2,16
en-lv,tildeset,25,hyp1,14,hyp2,19
en-lv,tildeset,26,hyp1,19,hyp2,14
en-lv,tildeset,27,hyp1,14,hyp2,14
en-lv,tildeset,28,hyp1,20,hyp2,14
en-lv,tildeset,29,hyp1,14,hyp2,17
en-lv,tildeset,30,hyp1,16,hyp2,15
en-lv,tildeset,31,hyp1,20,hyp2,14
en-lv,tildeset,32,hyp1,16,hyp2,17
en-lv,tildeset,33,hyp1,20,hyp2,15
en-lv,tildeset,34,hyp1,16,hyp2,16
en-lv,tildeset,35,hyp1,19,hyp2,15
en-lv,tildeset,36,hyp1,17,hyp2,16
en-lv,tildeset,37,hyp1,18,hyp2,19
en-lv,tildeset,38,hyp1,18,hyp2,19
en-lv,tildeset,39,hyp1,17,hyp2,20
en-lv,tildeset,40,hyp1,19,hyp2,18
en-lv,tildeset,41,hyp1,18,hyp2,18
en-lv,tildeset,42,hyp1,19,hyp2,18
en-lv,tildeset,43,hyp1,18,hyp2,19
en-lv,tildeset,44,hyp1,18,hyp2,18
en-lv,tildeset,45,hyp1,20,hyp2,19
en-lv,tildeset,46,hyp1,20,hyp2,19
en-lv,tildeset,47,hyp1,19,hyp2,20
en-lv,tildeset,48,hyp1,19,hyp2,20
en-lv,tildeset,49,hyp1,19,hyp2,20
en-lv,tildeset,50,hyp1,20,hyp2,19
en-lv,tildeset,51,hyp1,19,hyp2,19
en-lv,tildeset,52,hyp1,19,hyp2,20
en-lv,tildeset,53,hyp1,20,hyp2,19
en-lv,tildeset,54,hyp1,19,hyp2,20
en-lv,tildeset,55,hyp1,20,hyp2,19
en-lv,tildeset,56,hyp1,19,hyp2,19
en-lv,tildeset,57,hyp1,14,hyp2,20
en-lv,tildeset,58,hyp1,14,hyp2,19
en-lv,tildeset,59,hyp1,14,hyp2,19
en-lv,tildeset,60,hyp1,20,hyp2,14
en-lv,tildeset,61,hyp1,18,hyp2,12
en-lv,tildeset,62,hyp1,14,hyp2,19
en-lv,tildeset,63,hyp1,17,hyp2,13
en-lv,tildeset,64,hyp1,20,hyp2,14
en-lv,tildeset,65,hyp1,19,hyp2,14
en-lv,tildeset,66,hyp1,14,hyp2,19
en-lv,tildeset,67,hyp1,13,hyp2,18
en-lv,tildeset,68,hyp1,14,hyp2,19
en-lv,tildeset,69,hyp1,20,hyp2,14
en-lv,tildeset,70,hyp1,14,hyp2,19
en-lv,tildeset,71,hyp1,14,hyp2,20
